,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,WindDir {deg},,,,,,,
ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd,,,,,,,,,Wind Direction {deg},,,,,,,
789,276,0,999900,999900,12.2,3.9,57,2.1,,,,,,,,,230,,,,,,,
627,0,0,999900,999900,11.1,3.9,61,1.9,,,,,,,,,257,,,,,,,
0,0,0,999900,999900,10,3.9,66,1.7,,,,,,,,,283,,,,,,,
0,0,0,999900,999900,8.9,3.9,71,1.5,,,,,,,,,310,,,,,,,
0,0,0,999900,999900,7.4,3.5,76,1,,,,,,,,,327,,,,,,,
0,0,0,999900,999900,5.9,3.2,83,0.5,,,,,,,,,343,,,,,,,
0,0,0,999900,999900,4.4,2.8,89,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,3.9,2.4,90,0.5,,,,,,,,,43,,,,,,,
0,0,0,999900,999900,3.3,2.1,92,1,,,,,,,,,87,,,,,,,
0,0,0,999900,999900,2.8,1.7,92,1.5,,,,,,,,,130,,,,,,,
0,0,0,999900,999900,2.2,1.1,92,1.7,,,,,,,,,127,,,,,,,
0,0,0,999900,999900,1.7,0.6,92,1.9,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,1.1,0,92,2.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,1.1,0.2,94,1.9,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,1.1,0.4,95,1.7,,,,,,,,,93,,,,,,,
0,0,45,999900,999900,1.1,0.6,96,1.5,,,,,,,,,80,,,,,,,
613,332,188,999900,999900,4.3,1.1,80,2,,,,,,,,,67,,,,,,,
778,619,222,999900,999900,7.4,1.7,67,2.6,,,,,,,,,53,,,,,,,
907,715,220,999900,999900,10.6,2.2,56,3.1,,,,,,,,,40,,,,,,,
998,769,184,999900,999900,12.3,1.7,48,2.9,,,,,,,,,357,,,,,,,
1045,779,142,999900,999900,13.9,1.1,42,2.8,,,,,,,,,313,,,,,,,
1047,726,103,999900,999900,15.6,0.6,36,2.6,,,,,,,,,270,,,,,,,
1004,629,64,999900,999900,15.6,0.8,37,3.1,,,,,,,,,263,,,,,,,
918,371,67,999900,999900,15.6,0.9,37,3.6,,,,,,,,,257,,,,,,,
791,62,38,999900,999900,15.6,1.1,37,4.1,,,,,,,,,250,,,,,,,
630,0,0,999900,999900,13.5,1.3,43,4.1,,,,,,,,,243,,,,,,,
0,0,0,999900,999900,11.5,1.5,50,4.1,,,,,,,,,237,,,,,,,
0,0,0,999900,999900,9.4,1.7,59,4.1,,,,,,,,,230,,,,,,,
0,0,0,999900,999900,8.5,0.9,59,3.9,,,,,,,,,240,,,,,,,
0,0,0,999900,999900,7.6,0.2,59,3.8,,,,,,,,,250,,,,,,,
0,0,0,999900,999900,6.7,-0.6,59,3.6,,,,,,,,,260,,,,,,,
0,0,0,999900,999900,5.8,-0.7,63,2.4,,,,,,,,,293,,,,,,,
0,0,0,999900,999900,4.8,-0.8,66,1.2,,,,,,,,,327,,,,,,,
0,0,0,999900,999900,3.9,-1.1,69,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,3.3,-0.6,75,0.5,,,,,,,,,30,,,,,,,
0,0,0,999900,999900,2.8,-0.3,80,1,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,2.2,0,85,1.5,,,,,,,,,90,,,,,,,
0,0,0,999900,999900,2,-0.1,86,2.4,,,,,,,,,97,,,,,,,
0,0,0,999900,999900,1.9,-0.3,85,3.2,,,,,,,,,103,,,,,,,
0,0,46,999900,999900,1.7,-0.6,84,4.1,,,,,,,,,110,,,,,,,
613,476,176,999900,999900,4.5,-0.1,72,3.9,,,,,,,,,100,,,,,,,
778,752,181,999900,999900,7.2,0.2,61,3.8,,,,,,,,,90,,,,,,,
908,820,159,999900,999900,10,0.6,52,3.6,,,,,,,,,80,,,,,,,
998,851,121,999900,999900,11.3,1,49,2.4,,,,,,,,,53,,,,,,,
1046,857,76,999900,999900,12.6,1.3,46,1.2,,,,,,,,,27,,,,,,,
1048,828,27,999900,999900,13.9,1.7,44,0,,,,,,,,,0,,,,,,,
1006,695,5,999900,999900,13.7,1.3,43,1.2,,,,,,,,,320,,,,,,,
920,404,34,999900,999900,13.5,1,42,2.4,,,,,,,,,280,,,,,,,
793,116,18,999900,999900,13.3,0.6,42,3.6,,,,,,,,,240,,,,,,,
632,0,0,999900,999900,11.3,1.1,49,3.1,,,,,,,,,293,,,,,,,
0,0,0,999900,999900,9.2,1.7,59,2.6,,,,,,,,,347,,,,,,,
0,0,0,999900,999900,7.2,2.2,70,2.1,,,,,,,,,40,,,,,,,
0,0,0,999900,999900,6.1,2,75,2.1,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,5,1.9,80,2.1,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,3.9,1.7,86,2.1,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,3.7,1.5,86,2.1,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,3.5,1.3,85,2.1,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,3.3,1.1,85,2.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,2.9,0.9,87,1.4,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,2.6,0.8,88,0.7,,,,,,,,,40,,,,,,,
0,0,0,999900,999900,2.2,0.6,89,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,1.3,0,91,0.5,,,,,,,,,23,,,,,,,
0,0,0,999900,999900,0.3,-0.4,95,1,,,,,,,,,47,,,,,,,
0,0,47,999900,999900,-0.6,-1.1,96,1.5,,,,,,,,,70,,,,,,,
613,323,192,999900,999900,2.7,-0.6,78,1,,,,,,,,,47,,,,,,,
778,604,229,999900,999900,6.1,-0.3,63,0.5,,,,,,,,,23,,,,,,,
908,699,229,999900,999900,9.4,0,52,0,,,,,,,,,0,,,,,,,
